name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
Aarav khan,58,Male,Suburban,2020,Not able to vote,During the campaign,Party,BJP,No response,Other,Did not have necessary documents,Great deal,Yes,Worse,1,Healthcare,Not sure,Yes,Don't know,4,No response,Statement 1: Promotes development,Narendra Modi,Access to quality education is a significant concern.,"Economic growth is visible, but inflation persists.",His policies have been harsh on small businesses.
Aarav khan,58,Male,Suburban,2021,Able to vote,After announcement of candidates,Party,BSP,No response,"No one, I voted on my own",No response,Great deal,Don't know,No response,4,Other,Not sure,Yes,Don't know,5,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi,Healthcare in rural areas is inadequate.,Social harmony remains a challenge for this government.,His communication skills are his strongest asset.
Aarav khan,58,Male,Suburban,2022,Able to vote,A day or two before voting,Candidate,INC,No good alternative,Don't know,No response,Not at all,Yes,Better,5,Education,Not sure,Yes,No,5,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal,Access to quality education is a significant concern.,The push for renewable energy is commendable.,His reforms are long-term but challenging in the short term.
Aarav khan,58,Male,Suburban,2023,Not able to vote,A day or two before voting,Candidate,Not sure,No good alternative,Friends/neighbors,Was ill,No response,Did not respond,Worse,3,Healthcare,Yes,No,Yes,3,Modi's leadership,Statement 1: Promotes development,Narendra Modi,Accessibility for the differently-abled is often ignored.,Social harmony remains a challenge for this government.,Criticism on freedom of speech has grown under his tenure.
Aarav khan,58,Male,Suburban,2024,Able to vote,No response,Party,BSP,No response,Caste/community leader,No response,Great deal,Yes,Much better,2,Healthcare,Yes,No,No,2,No response,Statement 1: Promotes development,No response,Skilled labor training is insufficient to meet industry demands.,Skill development initiatives are showing results slowly.,Social welfare programs have expanded under his tenure.
Aarav khan,58,Male,Suburban,2025,Able to vote,No response,No response,Not sure,Really wanted to vote,Friends/neighbors,No response,No response,Don't know,Much worse,5,National Security,Yes,Yes,Don't know,4,Modi's leadership,No response,Other,Women safety and empowerment need more focus.,Global relations have strengthened under this government.,The handling of economic crises is his weak point.
Sneha Malhotra,49,Male,Rural,2020,Able to vote,Even before announcement of candidates,Candidate,INC,Really wanted to vote,Don't know,No response,Not at all,Don't know,Much better,5,National Security,Not sure,Yes,No,2,Other,Statement 1: Promotes development,Priyanka Gandhi,Corruption is still pervasive in many sectors.,The crackdown on black money is partially effective.,He has set a high bar for future leadership.
Sneha Malhotra,49,Male,Rural,2021,Able to vote,On the day of voting,No response,INC,No good alternative,Local political leader,No response,Great deal,Don't know,No response,3,National Security,Yes,No,Yes,2,Global image,No response,Narendra Modi,Women safety and empowerment need more focus.,Environmental conservation is not getting due priority.,Modi has brought India global recognition like never before.
Sneha Malhotra,49,Male,Rural,2022,Able to vote,Even before announcement of candidates,PM candidate,BJP,Really wanted to vote,Friends/neighbors,No response,No response,Did not respond,Remained same,4,National Security,Not sure,No,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi,Healthcare in rural areas is inadequate.,Technology integration in governance is appreciated.,Modi's charisma has inspired millions across the nation.
Sneha Malhotra,49,Male,Rural,2023,Able to vote,On the day of voting,Party,INC,No response,"No one, I voted on my own",No response,Not at all,Don't know,No response,4,Healthcare,Not sure,Yes,Don't know,2,Improving infrastructure,Statement 2: Important for the same party to remain,No response,Water scarcity is a growing challenge in arid regions.,Efforts on poverty alleviation show mixed results.,He has a polarizing effect on the electorate.
Sneha Malhotra,49,Male,Rural,2024,Able to vote,During the campaign,Candidate,BSP,Really wanted to vote,Friends/neighbors,No response,No response,Did not respond,Remained same,1,Education,No,Yes,No,2,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi,Public housing availability is still very low.,"Defense upgrades are a good move, but expensive.",His policies have been harsh on small businesses.
Sneha Malhotra,49,Male,Rural,2025,Not able to vote,No response,PM candidate,Not sure,Really wanted to vote,Caste/community leader,Did not have necessary documents,Not at all,No,Better,2,Healthcare,Not sure,No,No,2,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi,Healthcare in rural areas is inadequate.,"Economic growth is visible, but inflation persists.",He has a strong focus on national security.
Rohan Das,37,Non-binary,Rural,2020,Not able to vote,No response,No response,Not sure,Really wanted to vote,Local political leader,Did not feel like voting,Somewhat,Don't know,Much worse,1,Other,Not sure,Yes,Yes,2,Reducing poverty,Statement 2: Important for the same party to remain,No response,The disparity in healthcare costs is concerning.,Skill development initiatives are showing results slowly.,The handling of economic crises is his weak point.
Rohan Das,37,Non-binary,Rural,2021,Not able to vote,Even before announcement of candidates,No response,INC,No response,Local political leader,Was not in village/city,Somewhat,Don't know,Remained same,3,National Security,Yes,No,Yes,1,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal,Women safety and empowerment need more focus.,Budget allocations favor the wealthy over the poor.,His reforms are long-term but challenging in the short term.
Rohan Das,37,Non-binary,Rural,2022,Not able to vote,During the campaign,No response,Not sure,No good alternative,Other,Was ill,Great deal,Did not respond,Much better,4,Other,Yes,No,Yes,5,Employment opportunities,No response,Priyanka Gandhi,Poverty alleviation programs are not reaching the grassroots.,The push for renewable energy is commendable.,He has a strong focus on national security.
Rohan Das,37,Non-binary,Rural,2023,Able to vote,No response,Party,Not sure,No response,Caste/community leader,No response,No response,Don't know,Worse,4,Education,Yes,Yes,No,1,Employment opportunities,No response,No response,Skilled labor training is insufficient to meet industry demands.,Policy implementation varies significantly by state.,The handling of economic crises is his weak point.
Rohan Das,37,Non-binary,Rural,2024,Able to vote,A day or two before voting,No response,AAP,Really wanted to vote,Religious leader,No response,Not at all,Did not respond,Much worse,3,Education,No,Yes,No,2,Reducing poverty,No response,Arvind Kejriwal,Access to quality education is a significant concern.,Global relations have strengthened under this government.,Social welfare programs have expanded under his tenure.
Rohan Das,37,Non-binary,Rural,2025,Not able to vote,Even before announcement of candidates,No response,INC,No good alternative,Religious leader,No response,Somewhat,Did not respond,Much worse,3,Other,No,Yes,Yes,4,Reducing poverty,Statement 2: Important for the same party to remain,No response,Skilled labor training is insufficient to meet industry demands.,Skill development initiatives are showing results slowly.,The Make in India initiative is gaining traction.
sahil Agarwal,49,Male,Rural,2020,Able to vote,No response,Party,BSP,Really wanted to vote,Family member,No response,Great deal,Don't know,Better,3,National Security,Yes,Yes,No,4,Employment opportunities,No response,Priyanka Gandhi,The disparity in healthcare costs is concerning.,Budget allocations favor the wealthy over the poor.,His ability to connect with the masses is unmatched.
sahil Agarwal,49,Male,Rural,2021,Able to vote,A day or two before voting,Party,BJP,Really wanted to vote,Local political leader,No response,Somewhat,Yes,Better,3,Economy,Not sure,Yes,Yes,4,Other,Statement 1: Promotes development,Narendra Modi,Corruption is still pervasive in many sectors.,Support for startups has been promising.,His ability to connect with the masses is unmatched.
sahil Agarwal,49,Male,Rural,2022,Not able to vote,On the day of voting,PM candidate,BJP,Really wanted to vote,Friends/neighbors,Did not have necessary documents,Not at all,Did not respond,No response,2,Other,Yes,Yes,Yes,3,Modi's leadership,No response,Narendra Modi,Accessibility for the differently-abled is often ignored.,Efforts on poverty alleviation show mixed results.,Modi has brought India global recognition like never before.
sahil Agarwal,49,Male,Rural,2023,Not able to vote,On the day of voting,Candidate,AAP,No good alternative,Friends/neighbors,Was not in village/city,No response,Don't know,No response,5,Other,No,No,Don't know,3,Improving infrastructure,No response,Arvind Kejriwal,Public housing availability is still very low.,Policy implementation varies significantly by state.,The Make in India initiative is gaining traction.
sahil Agarwal,49,Male,Rural,2024,Able to vote,After announcement of candidates,Party,Not sure,Really wanted to vote,Don't know,No response,No response,No,Much worse,2,National Security,Not sure,Yes,No,1,No response,Statement 1: Promotes development,Rahul Gandhi,Corruption is still pervasive in many sectors.,Budget allocations favor the wealthy over the poor.,He has a polarizing effect on the electorate.
sahil Agarwal,49,Male,Rural,2025,Able to vote,After announcement of candidates,Candidate,INC,No response,Local political leader,No response,Great deal,Did not respond,No response,3,Education,Yes,Yes,No,5,Improving infrastructure,Statement 1: Promotes development,Priyanka Gandhi,Poverty alleviation programs are not reaching the grassroots.,The infrastructure development has been remarkable.,His leadership is visionary but divisive at times.
Ravi Kumar,59,Female,Rural,2020,Able to vote,No response,No response,INC,Really wanted to vote,Don't know,No response,Not at all,Don't know,Much better,1,Education,Not sure,Yes,No,5,Improving infrastructure,No response,No response,Access to quality education is a significant concern.,Environmental conservation is not getting due priority.,Economic policies under him are bold but risky.
Ravi Kumar,59,Female,Rural,2021,Not able to vote,On the day of voting,PM candidate,INC,Really wanted to vote,Caste/community leader,Other,Not at all,Did not respond,Much better,1,National Security,No,Yes,Don't know,1,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal,Tax reforms should be simplified for small businesses.,Ease of doing business has improved visibly.,The focus on infrastructure is highly appreciated.
Ravi Kumar,59,Female,Rural,2022,Able to vote,No response,PM candidate,BSP,Really wanted to vote,Local political leader,No response,Somewhat,Did not respond,Worse,2,National Security,Not sure,No,Yes,4,Other,No response,Arvind Kejriwal,Skilled labor training is insufficient to meet industry demands.,The crackdown on black money is partially effective.,The handling of economic crises is his weak point.
Ravi Kumar,59,Female,Rural,2023,Able to vote,No response,Party,BSP,Really wanted to vote,Friends/neighbors,No response,Somewhat,Don't know,Much better,3,Healthcare,No,No,Don't know,1,Employment opportunities,Statement 2: Important for the same party to remain,Other,Water scarcity is a growing challenge in arid regions.,Healthcare schemes are ambitious but lack execution.,His governance style is centralized but effective.
Ravi Kumar,59,Female,Rural,2024,Able to vote,During the campaign,No response,Not sure,No good alternative,Caste/community leader,No response,Not at all,Did not respond,No response,3,Economy,Yes,Yes,Yes,1,Reducing poverty,No response,Priyanka Gandhi,The disparity in healthcare costs is concerning.,Public transport systems have improved drastically.,His reforms are long-term but challenging in the short term.
Ravi Kumar,59,Female,Rural,2025,Not able to vote,On the day of voting,PM candidate,BJP,Really wanted to vote,Friends/neighbors,Was not in village/city,Not at all,Did not respond,Remained same,1,Healthcare,Yes,Yes,Yes,1,Improving infrastructure,No response,Narendra Modi,The disparity in healthcare costs is concerning.,The push for renewable energy is commendable.,He has set a high bar for future leadership.
Anjali Malhotra,41,Non-binary,Suburban,2020,Able to vote,No response,No response,INC,No response,Other,No response,Not at all,Yes,Better,2,National Security,No,Yes,Don't know,4,Global image,No response,Other,Tax reforms should be simplified for small businesses.,Environmental conservation is not getting due priority.,Criticism on freedom of speech has grown under his tenure.
Anjali Malhotra,41,Non-binary,Suburban,2021,Not able to vote,During the campaign,Party,BJP,No good alternative,Religious leader,Was not in village/city,Not at all,Did not respond,Much worse,2,Education,No,No,No,2,No response,Statement 2: Important for the same party to remain,Narendra Modi,Women safety and empowerment need more focus.,The infrastructure development has been remarkable.,The handling of economic crises is his weak point.
Anjali Malhotra,41,Non-binary,Suburban,2022,Able to vote,A day or two before voting,Party,AAP,No good alternative,Local political leader,No response,Not at all,No,Better,5,Education,Yes,Yes,Yes,2,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal,Judicial delays are denying timely justice.,Healthcare schemes are ambitious but lack execution.,Agricultural reforms under him are controversial but necessary.
Anjali Malhotra,41,Non-binary,Suburban,2023,Able to vote,No response,No response,BJP,No good alternative,Other,No response,No response,Yes,No response,4,Education,Not sure,No,Don't know,1,Other,No response,Narendra Modi,Environmental degradation is becoming a crisis.,Employment generation has not kept up with promises.,Criticism on freedom of speech has grown under his tenure.
Anjali Malhotra,41,Non-binary,Suburban,2024,Able to vote,After announcement of candidates,Candidate,BSP,No good alternative,Don't know,No response,Not at all,Don't know,Remained same,4,Economy,Yes,No,Yes,3,Modi's leadership,Statement 2: Important for the same party to remain,No response,Agriculture reforms are needed for farmer sustainability.,Policy implementation varies significantly by state.,He has a strong focus on national security.
Anjali Malhotra,41,Non-binary,Suburban,2025,Able to vote,On the day of voting,Party,BJP,No good alternative,Local political leader,No response,Somewhat,No,Better,2,National Security,Not sure,No,No,4,Modi's leadership,Statement 1: Promotes development,Narendra Modi,Corruption is still pervasive in many sectors.,Environmental conservation is not getting due priority.,The handling of economic crises is his weak point.
Kavya Mehta,35,Female,Urban,2020,Not able to vote,Even before announcement of candidates,Party,BJP,Really wanted to vote,Local political leader,Did not have necessary documents,Not at all,Don't know,Better,1,Healthcare,No,No,Don't know,3,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Poverty alleviation programs are not reaching the grassroots.,The push for renewable energy is commendable.,Agricultural reforms under him are controversial but necessary.
Kavya Mehta,35,Female,Urban,2021,Able to vote,No response,Party,BSP,No good alternative,Caste/community leader,No response,Not at all,Yes,Worse,3,National Security,Yes,No,Yes,3,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi,Healthcare in rural areas is inadequate.,Budget allocations favor the wealthy over the poor.,Agricultural reforms under him are controversial but necessary.
Kavya Mehta,35,Female,Urban,2022,Not able to vote,Even before announcement of candidates,Candidate,BJP,No good alternative,Don't know,Was not in village/city,No response,Did not respond,Better,3,Healthcare,Not sure,Yes,No,3,No response,Statement 1: Promotes development,Narendra Modi,Accessibility for the differently-abled is often ignored.,Public transport systems have improved drastically.,His leadership is visionary but divisive at times.
Kavya Mehta,35,Female,Urban,2023,Able to vote,During the campaign,Party,Not sure,No response,Don't know,No response,Great deal,No,Worse,3,National Security,No,Yes,No,1,Modi's leadership,No response,Narendra Modi,Judicial delays are denying timely justice.,Corruption scandals are less frequent but not eradicated.,His ability to connect with the masses is unmatched.
Kavya Mehta,35,Female,Urban,2024,Able to vote,During the campaign,No response,BJP,No good alternative,Family member,No response,No response,Did not respond,No response,3,Healthcare,No,No,No,3,Other,Statement 1: Promotes development,Narendra Modi,Public housing availability is still very low.,Employment generation has not kept up with promises.,The Make in India initiative is gaining traction.
Kavya Mehta,35,Female,Urban,2025,Able to vote,No response,PM candidate,BSP,No good alternative,Religious leader,No response,Not at all,Yes,Remained same,3,Other,Not sure,Yes,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi,Agriculture reforms are needed for farmer sustainability.,"Economic growth is visible, but inflation persists.",Agricultural reforms under him are controversial but necessary.
Meera Gupta,44,Non-binary,Suburban,2020,Able to vote,A day or two before voting,PM candidate,BJP,Really wanted to vote,Family member,No response,Not at all,Yes,Much better,3,National Security,Yes,No,Don't know,3,No response,Statement 2: Important for the same party to remain,Narendra Modi,Agriculture reforms are needed for farmer sustainability.,Policy implementation varies significantly by state.,Modi has brought India global recognition like never before.
Meera Gupta,44,Non-binary,Suburban,2021,Not able to vote,During the campaign,Candidate,BSP,No good alternative,Caste/community leader,Did not feel like voting,Great deal,Don't know,Much worse,3,Other,Not sure,Yes,Yes,2,Modi's leadership,Statement 2: Important for the same party to remain,Other,The divide between urban and rural areas is widening.,Technology integration in governance is appreciated.,Modi has brought India global recognition like never before.
Meera Gupta,44,Non-binary,Suburban,2022,Able to vote,On the day of voting,No response,AAP,Really wanted to vote,Caste/community leader,No response,No response,Yes,Remained same,3,Education,Not sure,No,Yes,2,Employment opportunities,No response,Arvind Kejriwal,The lack of job security in the gig economy is troubling.,Technology integration in governance is appreciated.,Modi has brought India global recognition like never before.
Meera Gupta,44,Non-binary,Suburban,2023,Able to vote,Even before announcement of candidates,PM candidate,BSP,Really wanted to vote,Family member,No response,Somewhat,No,Better,3,National Security,No,Yes,Yes,1,Reducing poverty,Statement 2: Important for the same party to remain,Other,Rising inflation is affecting middle-class families heavily.,Education initiatives are underfunded and overlooked.,Modi's charisma has inspired millions across the nation.
Meera Gupta,44,Non-binary,Suburban,2024,Able to vote,No response,Candidate,Not sure,No good alternative,Religious leader,No response,Great deal,Don't know,Much worse,5,National Security,No,Yes,Don't know,2,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi,Digital literacy is critical for inclusive growth.,The infrastructure development has been remarkable.,The handling of economic crises is his weak point.
Meera Gupta,44,Non-binary,Suburban,2025,Able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Family member,No response,No response,Did not respond,Worse,4,Education,Yes,Yes,No,1,Global image,Statement 2: Important for the same party to remain,Other,Public housing availability is still very low.,Support for startups has been promising.,His policies have been harsh on small businesses.
Raj Gupta,19,Female,Urban,2020,Not able to vote,No response,PM candidate,BJP,No response,"No one, I voted on my own",Was not in village/city,Great deal,Yes,Worse,2,Education,Not sure,Yes,Yes,1,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi,Environmental degradation is becoming a crisis.,Ease of doing business has improved visibly.,He has a strong focus on national security.
Raj Gupta,19,Female,Urban,2021,Able to vote,No response,PM candidate,BSP,Really wanted to vote,Religious leader,No response,No response,Did not respond,Much worse,2,National Security,No,No,Don't know,3,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal,The lack of job security in the gig economy is troubling.,"Economic growth is visible, but inflation persists.",His policies have been harsh on small businesses.
Raj Gupta,19,Female,Urban,2022,Not able to vote,A day or two before voting,No response,AAP,Really wanted to vote,"No one, I voted on my own",No response,Great deal,Did not respond,Much worse,2,National Security,Not sure,No,Don't know,1,Other,Statement 1: Promotes development,Arvind Kejriwal,Judicial delays are denying timely justice.,Ease of doing business has improved visibly.,Digital India is one of his landmark achievements.
Raj Gupta,19,Female,Urban,2023,Able to vote,During the campaign,Candidate,BJP,No good alternative,Local political leader,No response,Great deal,No,Remained same,5,National Security,Not sure,Yes,No,1,Improving infrastructure,No response,Narendra Modi,Unemployment among the youth is alarming.,Education initiatives are underfunded and overlooked.,The handling of economic crises is his weak point.
Raj Gupta,19,Female,Urban,2024,Not able to vote,On the day of voting,No response,BSP,Really wanted to vote,Local political leader,Other,Not at all,Yes,Remained same,4,Other,Yes,No,Don't know,4,Improving infrastructure,Statement 1: Promotes development,Priyanka Gandhi,The lack of job security in the gig economy is troubling.,Efforts on poverty alleviation show mixed results.,He has set a high bar for future leadership.
Raj Gupta,19,Female,Urban,2025,Able to vote,After announcement of candidates,No response,BJP,No good alternative,Religious leader,No response,Great deal,No,Remained same,1,Healthcare,Yes,No,Yes,2,Improving infrastructure,Statement 2: Important for the same party to remain,Narendra Modi,Unemployment among the youth is alarming.,Efforts on poverty alleviation show mixed results.,His reforms are long-term but challenging in the short term.
Simran Gupta,38,Male,Urban,2020,Not able to vote,Even before announcement of candidates,No response,Not sure,No good alternative,Other,Did not have necessary documents,Not at all,No,Better,5,Education,Yes,No,Yes,3,Other,Statement 1: Promotes development,Other,Unemployment among the youth is alarming.,Public transport systems have improved drastically.,He has set a high bar for future leadership.
Simran Gupta,38,Male,Urban,2021,Able to vote,A day or two before voting,No response,Not sure,No response,Family member,No response,Not at all,Yes,Remained same,1,Economy,No,Yes,Yes,2,Global image,Statement 1: Promotes development,Rahul Gandhi,Corruption is still pervasive in many sectors.,Social harmony remains a challenge for this government.,The handling of economic crises is his weak point.
Simran Gupta,38,Male,Urban,2022,Not able to vote,A day or two before voting,Candidate,INC,No response,Local political leader,Was not in village/city,Not at all,No,Remained same,5,National Security,Yes,No,No,4,Other,Statement 1: Promotes development,Priyanka Gandhi,The divide between urban and rural areas is widening.,The infrastructure development has been remarkable.,His governance style is centralized but effective.
Simran Gupta,38,Male,Urban,2023,Able to vote,During the campaign,Party,BSP,No response,Family member,No response,Not at all,Don't know,Remained same,3,Healthcare,Yes,Yes,Yes,2,No response,No response,Narendra Modi,Transportation infrastructure needs massive upgrades.,The push for renewable energy is commendable.,His governance style is centralized but effective.
Simran Gupta,38,Male,Urban,2024,Able to vote,During the campaign,No response,AAP,Really wanted to vote,Friends/neighbors,No response,Great deal,No,Remained same,5,Education,Not sure,No,Yes,4,Improving infrastructure,Statement 2: Important for the same party to remain,Arvind Kejriwal,Healthcare in rural areas is inadequate.,Employment generation has not kept up with promises.,The handling of economic crises is his weak point.
Simran Gupta,38,Male,Urban,2025,Not able to vote,Even before announcement of candidates,No response,BSP,Really wanted to vote,Caste/community leader,Other,Somewhat,Don't know,Much better,3,Healthcare,Not sure,No,Don't know,3,Improving infrastructure,No response,Arvind Kejriwal,Unemployment among the youth is alarming.,Technology integration in governance is appreciated.,His ability to connect with the masses is unmatched.
Pooja khan,59,Non-binary,Rural,2020,Able to vote,During the campaign,Candidate,BSP,No good alternative,Family member,No response,Not at all,Don't know,Much worse,2,National Security,No,Yes,Yes,3,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,The disparity in healthcare costs is concerning.,Efforts on poverty alleviation show mixed results.,His leadership is visionary but divisive at times.
Pooja khan,59,Non-binary,Rural,2021,Able to vote,A day or two before voting,Party,Not sure,Really wanted to vote,Don't know,No response,Somewhat,Yes,Worse,4,Healthcare,Not sure,No,No,1,Modi's leadership,No response,Rahul Gandhi,Transportation infrastructure needs massive upgrades.,Social harmony remains a challenge for this government.,His reforms are long-term but challenging in the short term.
Pooja khan,59,Non-binary,Rural,2022,Able to vote,No response,Candidate,BSP,No response,Family member,No response,Not at all,Don't know,Worse,1,National Security,Yes,No,Don't know,4,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal,Unemployment among the youth is alarming.,Corruption scandals are less frequent but not eradicated.,His ability to connect with the masses is unmatched.
Pooja khan,59,Non-binary,Rural,2023,Not able to vote,After announcement of candidates,Candidate,INC,No response,Local political leader,No response,Somewhat,No,Better,5,Healthcare,Not sure,No,Yes,3,Employment opportunities,No response,Narendra Modi,The divide between urban and rural areas is widening.,The infrastructure development has been remarkable.,The Make in India initiative is gaining traction.
Pooja khan,59,Non-binary,Rural,2024,Not able to vote,After announcement of candidates,No response,BJP,Really wanted to vote,Caste/community leader,Other,Great deal,No,No response,2,Economy,Yes,No,Don't know,1,Improving infrastructure,No response,Narendra Modi,Healthcare in rural areas is inadequate.,Skill development initiatives are showing results slowly.,There is a clear gap between his vision and execution.
Pooja khan,59,Non-binary,Rural,2025,Able to vote,No response,Party,BSP,No good alternative,Family member,No response,Great deal,Did not respond,Better,4,Education,Yes,No,Yes,3,No response,No response,Other,The lack of job security in the gig economy is troubling.,Education initiatives are underfunded and overlooked.,Economic policies under him are bold but risky.
Meera Iyer,26,Female,Urban,2020,Able to vote,No response,No response,BJP,Really wanted to vote,Other,No response,No response,Did not respond,Much worse,1,Economy,Not sure,Yes,Yes,4,Employment opportunities,No response,Narendra Modi,Skilled labor training is insufficient to meet industry demands.,Social harmony remains a challenge for this government.,The handling of economic crises is his weak point.
Meera Iyer,26,Female,Urban,2021,Able to vote,On the day of voting,PM candidate,BJP,No response,"No one, I voted on my own",No response,No response,No,Much worse,1,Economy,Yes,No,No,1,Modi's leadership,No response,Narendra Modi,Poverty alleviation programs are not reaching the grassroots.,Global relations have strengthened under this government.,His communication skills are his strongest asset.
Meera Iyer,26,Female,Urban,2022,Not able to vote,On the day of voting,PM candidate,AAP,Really wanted to vote,Local political leader,Was not in village/city,Somewhat,Don't know,Much better,4,Education,No,No,No,2,Reducing poverty,No response,Arvind Kejriwal,Rising inflation is affecting middle-class families heavily.,Global relations have strengthened under this government.,Modi's charisma has inspired millions across the nation.
Meera Iyer,26,Female,Urban,2023,Not able to vote,On the day of voting,Party,BJP,No response,Family member,Was ill,Not at all,Did not respond,No response,3,Other,Yes,No,No,2,Employment opportunities,Statement 1: Promotes development,Narendra Modi,The lack of job security in the gig economy is troubling.,Global relations have strengthened under this government.,Social welfare programs have expanded under his tenure.
Meera Iyer,26,Female,Urban,2024,Not able to vote,During the campaign,No response,INC,Really wanted to vote,Caste/community leader,No response,No response,Don't know,Much worse,4,Economy,Not sure,Yes,Don't know,5,Employment opportunities,Statement 2: Important for the same party to remain,Other,Transportation infrastructure needs massive upgrades.,Global relations have strengthened under this government.,His policies have been harsh on small businesses.
Meera Iyer,26,Female,Urban,2025,Not able to vote,Even before announcement of candidates,PM candidate,Not sure,No response,Religious leader,Was not in village/city,Great deal,No,No response,2,Other,No,No,Don't know,2,Other,No response,Arvind Kejriwal,Access to quality education is a significant concern.,The crackdown on black money is partially effective.,Agricultural reforms under him are controversial but necessary.
Rahul Gupta,21,Female,Suburban,2020,Not able to vote,After announcement of candidates,PM candidate,BJP,No response,Caste/community leader,Other,Not at all,Did not respond,Worse,4,Education,Not sure,Yes,Yes,3,Improving infrastructure,No response,Narendra Modi,Transportation infrastructure needs massive upgrades.,Skill development initiatives are showing results slowly.,His policies have been harsh on small businesses.
Rahul Gupta,21,Female,Suburban,2021,Not able to vote,No response,No response,BJP,Really wanted to vote,Friends/neighbors,Did not feel like voting,Somewhat,Don't know,Worse,2,Other,Yes,Yes,Yes,3,Employment opportunities,Statement 1: Promotes development,Narendra Modi,Judicial delays are denying timely justice.,Budget allocations favor the wealthy over the poor.,He has set a high bar for future leadership.
Rahul Gupta,21,Female,Suburban,2022,Not able to vote,No response,Candidate,BJP,No good alternative,"No one, I voted on my own",Was ill,Somewhat,No,Much better,2,National Security,Yes,Yes,Yes,2,Modi's leadership,Statement 1: Promotes development,Narendra Modi,Environmental degradation is becoming a crisis.,Skill development initiatives are showing results slowly.,The handling of economic crises is his weak point.
Rahul Gupta,21,Female,Suburban,2023,Able to vote,A day or two before voting,Candidate,AAP,No response,Religious leader,No response,Not at all,Don't know,Worse,2,Education,Yes,Yes,No,4,Other,Statement 1: Promotes development,Arvind Kejriwal,Accessibility for the differently-abled is often ignored.,Budget allocations favor the wealthy over the poor.,His governance style is centralized but effective.
Rahul Gupta,21,Female,Suburban,2024,Able to vote,During the campaign,No response,Not sure,No response,Don't know,No response,Great deal,Don't know,Better,3,National Security,Not sure,Yes,Don't know,2,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,Agriculture reforms are needed for farmer sustainability.,"Defense upgrades are a good move, but expensive.",His leadership is visionary but divisive at times.
Rahul Gupta,21,Female,Suburban,2025,Not able to vote,No response,Party,INC,No response,Other,Other,No response,No,Much worse,1,Economy,Not sure,No,Yes,4,Improving infrastructure,No response,Arvind Kejriwal,The divide between urban and rural areas is widening.,Social harmony remains a challenge for this government.,Agricultural reforms under him are controversial but necessary.
Arjun Patil,39,Non-binary,Urban,2020,Able to vote,No response,No response,BSP,No response,Caste/community leader,No response,Great deal,Did not respond,Remained same,1,Education,Yes,Yes,Yes,2,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi,The divide between urban and rural areas is widening.,Employment generation has not kept up with promises.,Digital India is one of his landmark achievements.
Arjun Patil,39,Non-binary,Urban,2021,Not able to vote,Even before announcement of candidates,Candidate,INC,No response,Caste/community leader,Was ill,Not at all,Did not respond,No response,1,Other,Yes,No,Don't know,1,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal,Unemployment among the youth is alarming.,Technology integration in governance is appreciated.,His policies have been harsh on small businesses.
Arjun Patil,39,Non-binary,Urban,2022,Able to vote,No response,PM candidate,INC,No good alternative,Religious leader,No response,Great deal,Yes,No response,1,National Security,No,No,Yes,5,Employment opportunities,Statement 1: Promotes development,Other,Tax reforms should be simplified for small businesses.,Social harmony remains a challenge for this government.,Criticism on freedom of speech has grown under his tenure.
