name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?
Kabir Gupta,30,Non-binary,Suburban,2025,Able to vote,After announcement of candidates,Party,Not sure,No good alternative,"No one, I voted on my own",Did not have necessary documents,Not at all,No,Much worse,1,Education,Yes,No,Yes,2,Other,Statement 1: Promotes development,Arvind Kejriwal
sushil Malhotra,19,Non-binary,Suburban,2020,Not able to vote,After announcement of candidates,No response,Not sure,No good alternative,Local political leader,Did not have necessary documents,Not at all,Did not respond,Much better,4,Other,Yes,Yes,Don't know,2,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi
sushil Malhotra,19,Non-binary,Suburban,2021,Able to vote,A day or two before voting,Party,BSP,No good alternative,Caste/community leader,Did not have necessary documents,No response,No,Remained same,1,Education,Yes,Yes,Don't know,5,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi
sushil Malhotra,19,Non-binary,Suburban,2022,Able to vote,Even before announcement of candidates,No response,INC,Really wanted to vote,Family member,Was ill,Not at all,Don't know,Better,4,Healthcare,Yes,No,Yes,3,Improving infrastructure,Statement 1: Promotes development,Priyanka Gandhi
sushil Malhotra,19,Non-binary,Suburban,2023,Able to vote,No response,Candidate,Not sure,No good alternative,Friends/neighbors,Was not in village/city,Not at all,Did not respond,No response,4,Healthcare,Not sure,No,Don't know,1,Other,Statement 2: Important for the same party to remain,No response
sushil Malhotra,19,Non-binary,Suburban,2024,Not able to vote,On the day of voting,Candidate,BJP,No good alternative,Friends/neighbors,No response,Not at all,Don't know,Remained same,3,Healthcare,No,Yes,No,4,No response,Statement 1: Promotes development,Priyanka Gandhi
sushil Malhotra,19,Non-binary,Suburban,2025,Able to vote,No response,No response,Not sure,No good alternative,Caste/community leader,No response,Not at all,Yes,Much worse,1,Economy,No,No,Yes,1,Modi's leadership,Statement 1: Promotes development,Narendra Modi
Raj ansari,44,Male,Rural,2020,Not able to vote,No response,Party,AAP,No good alternative,Caste/community leader,Was not in village/city,No response,Did not respond,Much worse,4,Healthcare,No,No,No,5,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi
Raj ansari,44,Male,Rural,2021,Able to vote,A day or two before voting,Candidate,BJP,No response,Family member,Was not in village/city,Not at all,Did not respond,Much worse,4,Other,No,Yes,Don't know,4,Global image,Statement 1: Promotes development,Arvind Kejriwal
Raj ansari,44,Male,Rural,2022,Able to vote,A day or two before voting,PM candidate,BSP,No good alternative,"No one, I voted on my own",Was ill,Great deal,No,Better,5,Economy,Yes,Yes,Don't know,3,No response,Statement 1: Promotes development,Arvind Kejriwal
Raj ansari,44,Male,Rural,2023,Able to vote,During the campaign,Candidate,BJP,No response,Friends/neighbors,Was ill,Not at all,Don't know,No response,3,National Security,Yes,No,No,4,Modi's leadership,Statement 1: Promotes development,Rahul Gandhi
Raj ansari,44,Male,Rural,2024,Able to vote,During the campaign,Candidate,Not sure,No response,Family member,Was ill,Great deal,No,Much better,1,Economy,Not sure,No,Don't know,3,Other,No response,Priyanka Gandhi
Raj ansari,44,Male,Rural,2025,Able to vote,Even before announcement of candidates,PM candidate,BSP,No good alternative,Local political leader,Did not have necessary documents,Not at all,No,Better,2,Economy,Yes,Yes,Yes,4,Global image,Statement 1: Promotes development,No response
Meera Sharma,40,Female,Rural,2020,Able to vote,No response,Candidate,Not sure,No good alternative,Other,Other,No response,Did not respond,Worse,3,Economy,No,Yes,Don't know,2,Other,Statement 1: Promotes development,No response
Meera Sharma,40,Female,Rural,2021,Not able to vote,During the campaign,PM candidate,BSP,No good alternative,Family member,No response,Great deal,Did not respond,Much worse,5,National Security,No,No,No,4,Modi's leadership,Statement 1: Promotes development,No response
Meera Sharma,40,Female,Rural,2022,Not able to vote,After announcement of candidates,PM candidate,INC,Really wanted to vote,Other,Was not in village/city,Not at all,Did not respond,Remained same,3,Other,Yes,Yes,No,5,Global image,Statement 2: Important for the same party to remain,No response
Meera Sharma,40,Female,Rural,2023,Able to vote,After announcement of candidates,Candidate,BJP,No response,Don't know,Did not have necessary documents,No response,Yes,Much worse,1,Education,No,Yes,No,3,Global image,No response,Arvind Kejriwal
Meera Sharma,40,Female,Rural,2024,Able to vote,No response,PM candidate,INC,No response,Other,Did not have necessary documents,No response,Don't know,No response,4,Healthcare,No,No,Don't know,2,Modi's leadership,Statement 1: Promotes development,Priyanka Gandhi
Meera Sharma,40,Female,Rural,2025,Able to vote,Even before announcement of candidates,PM candidate,AAP,Really wanted to vote,Friends/neighbors,No response,Great deal,No,Much worse,5,National Security,Yes,No,Yes,1,Improving infrastructure,No response,Priyanka Gandhi
Asha Sharma,56,Male,Rural,2020,Not able to vote,During the campaign,PM candidate,AAP,No good alternative,Religious leader,Did not feel like voting,Somewhat,Yes,Much better,4,Other,Not sure,Yes,Yes,5,Reducing poverty,Statement 1: Promotes development,No response
Asha Sharma,56,Male,Rural,2021,Not able to vote,Even before announcement of candidates,PM candidate,BJP,Really wanted to vote,Caste/community leader,No response,Great deal,Did not respond,Better,4,Economy,Not sure,No,Yes,2,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi
Asha Sharma,56,Male,Rural,2022,Not able to vote,A day or two before voting,PM candidate,Not sure,No response,Religious leader,Did not feel like voting,Not at all,Yes,No response,2,Education,Yes,Yes,Don't know,1,Employment opportunities,Statement 1: Promotes development,Other
Asha Sharma,56,Male,Rural,2023,Not able to vote,A day or two before voting,No response,AAP,No response,Local political leader,Was ill,Somewhat,Don't know,Much worse,1,National Security,No,Yes,No,2,Improving infrastructure,No response,No response
Asha Sharma,56,Male,Rural,2024,Able to vote,No response,Party,BJP,No response,"No one, I voted on my own",Was not in village/city,Great deal,Did not respond,No response,2,Healthcare,No,No,Yes,4,Reducing poverty,Statement 2: Important for the same party to remain,Rahul Gandhi
Asha Sharma,56,Male,Rural,2025,Not able to vote,On the day of voting,No response,INC,No response,Family member,No response,No response,Don't know,No response,3,Economy,No,No,No,1,Employment opportunities,No response,Other
Suresh Patil,56,Female,Suburban,2020,Able to vote,No response,PM candidate,AAP,Really wanted to vote,Other,Was not in village/city,No response,No,Much better,1,Economy,Not sure,No,Yes,3,Employment opportunities,No response,Other
Suresh Patil,56,Female,Suburban,2021,Able to vote,A day or two before voting,No response,BSP,Really wanted to vote,Family member,No response,Not at all,Yes,Much worse,3,Education,Yes,Yes,No,4,No response,Statement 2: Important for the same party to remain,Priyanka Gandhi
Suresh Patil,56,Female,Suburban,2022,Not able to vote,Even before announcement of candidates,Candidate,BJP,Really wanted to vote,Friends/neighbors,Did not have necessary documents,No response,Yes,Much better,1,Other,Not sure,No,Don't know,5,Other,Statement 1: Promotes development,Arvind Kejriwal
Suresh Patil,56,Female,Suburban,2023,Able to vote,No response,Candidate,BJP,No good alternative,Family member,No response,No response,No,Better,5,Other,Yes,No,No,3,No response,Statement 1: Promotes development,Narendra Modi
Suresh Patil,56,Female,Suburban,2024,Able to vote,On the day of voting,Party,BSP,No good alternative,Local political leader,Did not feel like voting,Great deal,Did not respond,Much worse,2,National Security,No,No,Don't know,2,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
Suresh Patil,56,Female,Suburban,2025,Able to vote,No response,PM candidate,Not sure,No good alternative,Family member,Did not feel like voting,Somewhat,Yes,Much worse,5,Healthcare,Not sure,No,Don't know,4,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal
Kunal Gupta,30,Non-binary,Urban,2020,Able to vote,No response,No response,Not sure,No good alternative,Other,Was not in village/city,No response,Did not respond,No response,5,Other,Yes,Yes,Yes,5,Other,No response,Arvind Kejriwal
Kunal Gupta,30,Non-binary,Urban,2021,Able to vote,During the campaign,PM candidate,AAP,No good alternative,"No one, I voted on my own",Other,Great deal,Yes,Better,3,Economy,Not sure,No,Yes,1,Improving infrastructure,Statement 2: Important for the same party to remain,Narendra Modi
Kunal Gupta,30,Non-binary,Urban,2022,Able to vote,During the campaign,No response,BJP,No response,Local political leader,Was not in village/city,No response,No,Much worse,2,Education,Yes,Yes,No,3,Global image,Statement 2: Important for the same party to remain,Other
Kunal Gupta,30,Non-binary,Urban,2023,Not able to vote,Even before announcement of candidates,PM candidate,AAP,No good alternative,Don't know,Did not feel like voting,Great deal,Did not respond,Remained same,3,Healthcare,Yes,Yes,Don't know,1,No response,No response,Priyanka Gandhi
Kunal Gupta,30,Non-binary,Urban,2024,Not able to vote,Even before announcement of candidates,Party,AAP,No good alternative,Local political leader,No response,No response,Did not respond,Much better,2,Other,Yes,No,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal
Kunal Gupta,30,Non-binary,Urban,2025,Not able to vote,After announcement of candidates,PM candidate,Not sure,No good alternative,"No one, I voted on my own",No response,Great deal,Yes,Worse,5,Other,No,No,No,3,Global image,No response,Rahul Gandhi
Rahul Verma,27,Female,Urban,2020,Able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,Family member,Was not in village/city,Great deal,No,Better,3,National Security,No,No,Don't know,1,Employment opportunities,Statement 2: Important for the same party to remain,No response
Rahul Verma,27,Female,Urban,2021,Able to vote,On the day of voting,Party,AAP,No good alternative,Caste/community leader,Other,Not at all,Yes,Remained same,4,Healthcare,Not sure,No,Yes,1,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi
Rahul Verma,27,Female,Urban,2022,Able to vote,Even before announcement of candidates,No response,AAP,Really wanted to vote,"No one, I voted on my own",Other,No response,Don't know,Much better,5,Economy,No,Yes,Yes,2,Modi's leadership,Statement 2: Important for the same party to remain,Other
Rahul Verma,27,Female,Urban,2023,Able to vote,During the campaign,Party,AAP,No good alternative,Family member,Was not in village/city,Great deal,Yes,Worse,2,Economy,Yes,Yes,No,3,No response,Statement 1: Promotes development,Rahul Gandhi
Rahul Verma,27,Female,Urban,2024,Not able to vote,A day or two before voting,Party,INC,Really wanted to vote,Don't know,Did not feel like voting,No response,Did not respond,Remained same,5,Other,Yes,No,No,5,Global image,Statement 1: Promotes development,Priyanka Gandhi
Rahul Verma,27,Female,Urban,2025,Not able to vote,A day or two before voting,Candidate,Not sure,No good alternative,Friends/neighbors,Did not have necessary documents,No response,Did not respond,Worse,3,Healthcare,No,No,No,5,Global image,Statement 1: Promotes development,No response
Ananya yadav,19,Female,Urban,2020,Able to vote,After announcement of candidates,PM candidate,Not sure,No good alternative,"No one, I voted on my own",No response,Not at all,No,Much better,4,Education,No,Yes,Yes,2,Improving infrastructure,No response,Arvind Kejriwal
Ananya yadav,19,Female,Urban,2021,Not able to vote,Even before announcement of candidates,Party,BSP,No response,Caste/community leader,Did not feel like voting,Great deal,No,Remained same,3,Education,No,No,No,2,Other,Statement 1: Promotes development,Other
Ananya yadav,19,Female,Urban,2022,Able to vote,On the day of voting,PM candidate,INC,No good alternative,Friends/neighbors,Did not have necessary documents,Somewhat,No,No response,1,Healthcare,Not sure,Yes,Yes,3,Modi's leadership,Statement 1: Promotes development,Narendra Modi
Ananya yadav,19,Female,Urban,2023,Able to vote,After announcement of candidates,Candidate,BJP,Really wanted to vote,Local political leader,Was not in village/city,Great deal,Yes,Much better,2,National Security,No,Yes,Yes,5,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal
Ananya yadav,19,Female,Urban,2024,Not able to vote,During the campaign,Party,BJP,No good alternative,"No one, I voted on my own",Was not in village/city,Great deal,No,Much worse,5,Healthcare,Yes,No,Yes,4,Employment opportunities,No response,Narendra Modi
Ananya yadav,19,Female,Urban,2025,Able to vote,On the day of voting,Candidate,BSP,No good alternative,Friends/neighbors,Did not feel like voting,No response,Don't know,Much worse,2,Other,Not sure,No,Don't know,1,Improving infrastructure,No response,Rahul Gandhi
Asha Mishra,21,Female,Urban,2020,Not able to vote,Even before announcement of candidates,Candidate,BJP,No response,Religious leader,Was not in village/city,Not at all,Don't know,No response,4,Economy,No,No,Yes,3,No response,Statement 1: Promotes development,Other
Asha Mishra,21,Female,Urban,2021,Not able to vote,During the campaign,PM candidate,INC,Really wanted to vote,Family member,Other,Not at all,Don't know,Better,5,Other,No,Yes,No,2,Improving infrastructure,Statement 1: Promotes development,No response
Asha Mishra,21,Female,Urban,2022,Able to vote,During the campaign,Party,BSP,No good alternative,Family member,Was ill,No response,Did not respond,No response,4,Other,Yes,Yes,Yes,1,Reducing poverty,Statement 2: Important for the same party to remain,Other
Asha Mishra,21,Female,Urban,2023,Not able to vote,No response,Candidate,BSP,No response,Caste/community leader,Did not have necessary documents,No response,Yes,Remained same,1,National Security,Yes,Yes,Don't know,2,Employment opportunities,No response,Priyanka Gandhi
Asha Mishra,21,Female,Urban,2024,Not able to vote,No response,No response,AAP,No good alternative,Don't know,Did not feel like voting,Somewhat,No,No response,4,Economy,Not sure,No,Don't know,1,Global image,No response,Rahul Gandhi
Asha Mishra,21,Female,Urban,2025,Not able to vote,After announcement of candidates,Candidate,Not sure,Really wanted to vote,"No one, I voted on my own",Was ill,Somewhat,Did not respond,Better,3,National Security,Not sure,No,No,2,Other,No response,Narendra Modi
Kunal Reddy,43,Male,Rural,2020,Able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,Other,Was not in village/city,Somewhat,Don't know,Better,1,Economy,No,Yes,No,5,Other,Statement 1: Promotes development,Rahul Gandhi
Kunal Reddy,43,Male,Rural,2021,Able to vote,After announcement of candidates,Party,BSP,No response,Religious leader,Was not in village/city,Great deal,Yes,No response,1,Economy,Not sure,No,No,5,Other,No response,Other
Kunal Reddy,43,Male,Rural,2022,Not able to vote,A day or two before voting,Party,INC,No good alternative,Religious leader,Was ill,Not at all,Yes,Much better,2,Healthcare,Not sure,Yes,Yes,4,Other,No response,Arvind Kejriwal
Kunal Reddy,43,Male,Rural,2023,Able to vote,On the day of voting,Candidate,BSP,No response,Religious leader,Did not have necessary documents,Not at all,No,Better,4,National Security,Yes,No,Yes,5,Employment opportunities,Statement 2: Important for the same party to remain,Other
Kunal Reddy,43,Male,Rural,2024,Not able to vote,No response,PM candidate,BJP,No response,Don't know,Was ill,No response,Don't know,Better,4,Healthcare,No,No,Don't know,5,Other,Statement 1: Promotes development,Arvind Kejriwal
Kunal Reddy,43,Male,Rural,2025,Not able to vote,After announcement of candidates,No response,Not sure,No good alternative,Local political leader,No response,Great deal,Yes,Remained same,5,Education,Not sure,Yes,Yes,2,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
Pooja Gupta,48,Female,Urban,2020,Not able to vote,Even before announcement of candidates,PM candidate,BJP,No good alternative,Family member,Did not have necessary documents,No response,Yes,Much worse,2,Economy,No,Yes,Yes,2,Modi's leadership,Statement 2: Important for the same party to remain,No response
Pooja Gupta,48,Female,Urban,2021,Not able to vote,No response,Candidate,BJP,No good alternative,"No one, I voted on my own",Was not in village/city,Great deal,Don't know,Remained same,4,Education,No,No,Yes,3,Reducing poverty,Statement 2: Important for the same party to remain,Priyanka Gandhi
Pooja Gupta,48,Female,Urban,2022,Able to vote,On the day of voting,PM candidate,AAP,Really wanted to vote,"No one, I voted on my own",Was not in village/city,Not at all,Did not respond,Much worse,4,Education,Yes,Yes,Don't know,2,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi
Pooja Gupta,48,Female,Urban,2023,Able to vote,During the campaign,Party,Not sure,Really wanted to vote,Local political leader,Did not feel like voting,Somewhat,Yes,Worse,1,Healthcare,Yes,Yes,No,4,Employment opportunities,Statement 1: Promotes development,Narendra Modi
Pooja Gupta,48,Female,Urban,2024,Able to vote,Even before announcement of candidates,PM candidate,AAP,No good alternative,Friends/neighbors,Other,Not at all,No,Much better,5,Healthcare,No,No,No,3,Improving infrastructure,No response,Other
Pooja Gupta,48,Female,Urban,2025,Not able to vote,After announcement of candidates,Party,BSP,No response,"No one, I voted on my own",No response,Great deal,Did not respond,Worse,3,Education,Not sure,No,Don't know,5,No response,Statement 2: Important for the same party to remain,Narendra Modi
Ananya Verma,33,Non-binary,Urban,2020,Able to vote,Even before announcement of candidates,PM candidate,BSP,No good alternative,Religious leader,No response,No response,Yes,Worse,5,Economy,No,Yes,Yes,2,Employment opportunities,Statement 1: Promotes development,No response
Ananya Verma,33,Non-binary,Urban,2021,Not able to vote,On the day of voting,No response,AAP,No response,Don't know,Did not have necessary documents,Great deal,Yes,Better,3,Economy,No,Yes,No,3,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi
Ananya Verma,33,Non-binary,Urban,2022,Able to vote,Even before announcement of candidates,Candidate,BJP,Really wanted to vote,Family member,Was ill,Not at all,Yes,Much worse,2,Other,No,No,No,2,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi
Ananya Verma,33,Non-binary,Urban,2023,Not able to vote,On the day of voting,No response,Not sure,No good alternative,Caste/community leader,No response,Somewhat,No,Much worse,3,Healthcare,Yes,Yes,No,1,Improving infrastructure,No response,Priyanka Gandhi
Ananya Verma,33,Non-binary,Urban,2024,Not able to vote,Even before announcement of candidates,Party,INC,No good alternative,"No one, I voted on my own",Did not feel like voting,No response,Did not respond,Worse,1,Education,Yes,Yes,Don't know,1,Employment opportunities,Statement 2: Important for the same party to remain,Other
Ananya Verma,33,Non-binary,Urban,2025,Not able to vote,On the day of voting,No response,INC,No good alternative,"No one, I voted on my own",Did not feel like voting,Not at all,Don't know,No response,1,Healthcare,No,Yes,Don't know,2,No response,Statement 2: Important for the same party to remain,Other
Asha Joshi,25,Female,Suburban,2020,Able to vote,After announcement of candidates,PM candidate,BJP,No good alternative,Other,Did not feel like voting,Somewhat,Yes,Much worse,1,Economy,Not sure,Yes,No,4,Global image,Statement 2: Important for the same party to remain,No response
Asha Joshi,25,Female,Suburban,2021,Not able to vote,No response,No response,BJP,Really wanted to vote,"No one, I voted on my own",Was not in village/city,No response,No,No response,3,Other,Yes,Yes,Yes,1,Reducing poverty,Statement 2: Important for the same party to remain,Priyanka Gandhi
Asha Joshi,25,Female,Suburban,2022,Able to vote,A day or two before voting,PM candidate,BJP,No response,"No one, I voted on my own",Other,Somewhat,No,Much worse,5,Other,No,No,Yes,4,Reducing poverty,Statement 1: Promotes development,Other
Asha Joshi,25,Female,Suburban,2023,Able to vote,No response,No response,Not sure,No good alternative,Family member,Was ill,Great deal,No,Better,4,National Security,No,No,No,3,Other,Statement 2: Important for the same party to remain,Other
Asha Joshi,25,Female,Suburban,2024,Able to vote,No response,Candidate,AAP,Really wanted to vote,"No one, I voted on my own",Did not have necessary documents,No response,Did not respond,Much worse,2,Other,Yes,No,Don't know,5,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi
Asha Joshi,25,Female,Suburban,2025,Able to vote,After announcement of candidates,No response,Not sure,No response,Religious leader,Other,No response,Did not respond,Much worse,4,Other,Not sure,Yes,No,5,Global image,No response,Rahul Gandhi
Rahul Das,32,Male,Suburban,2020,Not able to vote,No response,PM candidate,Not sure,No good alternative,Friends/neighbors,Did not have necessary documents,Not at all,No,Much worse,1,Economy,Yes,Yes,Yes,1,Improving infrastructure,No response,Narendra Modi
Rahul Das,32,Male,Suburban,2021,Able to vote,On the day of voting,No response,BJP,No response,Family member,Did not have necessary documents,No response,No,Much worse,5,National Security,Yes,No,Yes,1,Reducing poverty,Statement 1: Promotes development,Narendra Modi
Rahul Das,32,Male,Suburban,2022,Not able to vote,On the day of voting,Party,BJP,No good alternative,"No one, I voted on my own",Did not feel like voting,No response,No,Better,5,Economy,No,No,Yes,1,Employment opportunities,No response,Narendra Modi
Rahul Das,32,Male,Suburban,2023,Not able to vote,Even before announcement of candidates,Party,Not sure,No response,Don't know,No response,Somewhat,Did not respond,Much worse,4,Healthcare,Yes,Yes,Don't know,5,No response,No response,Rahul Gandhi
Rahul Das,32,Male,Suburban,2024,Not able to vote,After announcement of candidates,Party,BJP,Really wanted to vote,Caste/community leader,Was not in village/city,No response,Don't know,Much worse,5,Healthcare,No,No,Yes,3,No response,Statement 1: Promotes development,Rahul Gandhi
Rahul Das,32,Male,Suburban,2025,Able to vote,A day or two before voting,Party,BSP,Really wanted to vote,Caste/community leader,Was ill,Not at all,No,Much worse,2,Healthcare,Yes,No,No,2,Employment opportunities,Statement 2: Important for the same party to remain,Narendra Modi
Aditya Malhotra,49,Non-binary,Urban,2020,Not able to vote,On the day of voting,Candidate,BSP,No response,Other,Was not in village/city,Not at all,Don't know,Better,2,National Security,Yes,No,Yes,2,Modi's leadership,Statement 2: Important for the same party to remain,No response
Aditya Malhotra,49,Non-binary,Urban,2021,Able to vote,After announcement of candidates,Candidate,AAP,No good alternative,Friends/neighbors,Did not have necessary documents,Somewhat,Yes,Much better,2,Education,No,Yes,Don't know,4,Employment opportunities,Statement 1: Promotes development,No response
Aditya Malhotra,49,Non-binary,Urban,2022,Not able to vote,No response,Candidate,BJP,No response,Other,Other,Not at all,No,No response,4,National Security,Not sure,Yes,Yes,1,Employment opportunities,Statement 2: Important for the same party to remain,Other
Aditya Malhotra,49,Non-binary,Urban,2023,Able to vote,On the day of voting,Party,INC,No response,Local political leader,Was ill,No response,Did not respond,Much worse,1,Healthcare,No,No,No,4,Improving infrastructure,No response,Rahul Gandhi
Aditya Malhotra,49,Non-binary,Urban,2024,Able to vote,Even before announcement of candidates,Candidate,Not sure,No good alternative,Friends/neighbors,No response,Somewhat,Did not respond,Much worse,1,Other,Yes,Yes,Yes,4,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi
Aditya Malhotra,49,Non-binary,Urban,2025,Able to vote,No response,No response,INC,No response,Family member,Was ill,Great deal,Did not respond,Much worse,3,Education,Not sure,Yes,No,4,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal
Vidya Chopra,39,Non-binary,Suburban,2020,Not able to vote,On the day of voting,PM candidate,Not sure,No good alternative,Other,Did not feel like voting,No response,Yes,Much worse,1,Economy,Not sure,Yes,Yes,1,No response,Statement 2: Important for the same party to remain,Narendra Modi
Vidya Chopra,39,Non-binary,Suburban,2021,Not able to vote,After announcement of candidates,Candidate,BJP,No response,Local political leader,No response,No response,No,Worse,2,Economy,Not sure,No,Yes,5,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal
Vidya Chopra,39,Non-binary,Suburban,2022,Able to vote,A day or two before voting,PM candidate,BSP,Really wanted to vote,Other,No response,Somewhat,Don't know,Worse,1,National Security,No,No,No,4,Reducing poverty,No response,Priyanka Gandhi
Vidya Chopra,39,Non-binary,Suburban,2023,Not able to vote,After announcement of candidates,PM candidate,BSP,No response,"No one, I voted on my own",Other,Not at all,Don't know,Much worse,5,National Security,No,Yes,No,4,Global image,Statement 1: Promotes development,Rahul Gandhi
Vidya Chopra,39,Non-binary,Suburban,2024,Not able to vote,During the campaign,Party,AAP,No good alternative,Friends/neighbors,Did not have necessary documents,Not at all,Yes,Much worse,4,Healthcare,Not sure,Yes,No,1,Global image,Statement 2: Important for the same party to remain,No response
Vidya Chopra,39,Non-binary,Suburban,2025,Not able to vote,After announcement of candidates,PM candidate,INC,No response,Religious leader,No response,No response,Don't know,Remained same,2,National Security,Not sure,Yes,Don't know,5,Global image,Statement 2: Important for the same party to remain,Narendra Modi
Vivaan khan,59,Non-binary,Rural,2020,Not able to vote,After announcement of candidates,PM candidate,AAP,Really wanted to vote,Family member,Did not feel like voting,Not at all,Don't know,Better,5,Other,Yes,Yes,Yes,4,Reducing poverty,No response,Other
Vivaan khan,59,Non-binary,Rural,2021,Not able to vote,Even before announcement of candidates,Party,BSP,No good alternative,Local political leader,No response,Somewhat,Yes,Worse,5,Other,Not sure,No,Yes,5,No response,No response,Narendra Modi
Vivaan khan,59,Non-binary,Rural,2022,Able to vote,During the campaign,Party,AAP,No good alternative,Other,Did not feel like voting,Great deal,Yes,Better,4,Healthcare,Not sure,No,No,3,Global image,No response,Other
Vivaan khan,59,Non-binary,Rural,2023,Not able to vote,On the day of voting,PM candidate,BSP,Really wanted to vote,Other,Was not in village/city,No response,Don't know,Better,4,Healthcare,Not sure,No,Yes,5,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal
Vivaan khan,59,Non-binary,Rural,2024,Not able to vote,No response,Candidate,Not sure,Really wanted to vote,Local political leader,Was not in village/city,Not at all,Yes,Remained same,1,Other,Not sure,Yes,Yes,4,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi
Vivaan khan,59,Non-binary,Rural,2025,Able to vote,During the campaign,No response,BSP,Really wanted to vote,Local political leader,No response,Not at all,Don't know,Remained same,2,National Security,Not sure,Yes,Don't know,2,Modi's leadership,Statement 2: Important for the same party to remain,Other
sumit Iyer,52,Female,Suburban,2020,Not able to vote,No response,Party,BSP,Really wanted to vote,"No one, I voted on my own",Other,Somewhat,Did not respond,Much better,3,Healthcare,No,Yes,No,5,No response,Statement 1: Promotes development,Arvind Kejriwal
sumit Iyer,52,Female,Suburban,2021,Able to vote,No response,No response,INC,Really wanted to vote,"No one, I voted on my own",Was ill,No response,Don't know,No response,2,Economy,No,No,Yes,5,Other,Statement 2: Important for the same party to remain,Arvind Kejriwal
sumit Iyer,52,Female,Suburban,2022,Able to vote,Even before announcement of candidates,Candidate,BSP,No response,Family member,Was not in village/city,Not at all,Did not respond,Much better,2,Economy,No,No,Yes,5,Employment opportunities,No response,Priyanka Gandhi
sumit Iyer,52,Female,Suburban,2023,Able to vote,No response,Candidate,INC,No good alternative,"No one, I voted on my own",Was not in village/city,Great deal,Yes,Much worse,4,Economy,No,No,Don't know,5,No response,Statement 1: Promotes development,Other
sumit Iyer,52,Female,Suburban,2024,Not able to vote,On the day of voting,PM candidate,BSP,Really wanted to vote,Don't know,Other,Not at all,No,Much better,4,Education,Not sure,Yes,No,5,Improving infrastructure,No response,Other
sumit Iyer,52,Female,Suburban,2025,Able to vote,A day or two before voting,No response,AAP,No response,"No one, I voted on my own",Did not have necessary documents,No response,No,Much better,4,National Security,Yes,No,Don't know,3,No response,No response,Arvind Kejriwal
Ravi Verma,53,Male,Urban,2020,Able to vote,On the day of voting,PM candidate,Not sure,Really wanted to vote,Don't know,No response,No response,Don't know,Worse,2,Economy,Yes,Yes,Yes,5,Employment opportunities,No response,No response
Ravi Verma,53,Male,Urban,2021,Able to vote,No response,Candidate,BJP,Really wanted to vote,Religious leader,Other,Not at all,No,Much better,4,National Security,No,Yes,No,2,Improving infrastructure,Statement 2: Important for the same party to remain,Rahul Gandhi
Ravi Verma,53,Male,Urban,2022,Able to vote,No response,PM candidate,AAP,No good alternative,Caste/community leader,Was ill,No response,Yes,Remained same,3,National Security,No,No,Yes,5,Improving infrastructure,No response,No response
Ravi Verma,53,Male,Urban,2023,Able to vote,No response,Party,INC,Really wanted to vote,Other,Other,Great deal,Did not respond,No response,5,Education,Yes,Yes,Yes,5,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi
Ravi Verma,53,Male,Urban,2024,Not able to vote,Even before announcement of candidates,PM candidate,AAP,No good alternative,Family member,No response,Somewhat,Yes,Much worse,4,Healthcare,Not sure,No,Yes,1,Global image,Statement 2: Important for the same party to remain,Other
